SEscAcc	SEscF1w	SEscF1m	SEsAcc	SEsF1w	SEsF1m	SEsksAcc	SEsksF1w	SEsksF1m	DVscAcc	DVscF1w	DVscF1m	DVscmaxAcc	DVscmaxF1w	DVscmaxF1m	DVsAcc	DVsF1w	DVsF1m	DVsmaxAcc	DVsmaxF1w	DVsmaxF1m	DVsksAcc	DVsksF1w	DVsksF1m	DVsksmaxAcc	DVsksmaxF1w	DVsksmaxF1m
0.589	0.589433	0.5889840000000001	0.612	0.61046	0.611635	0.587333	0.587118	0.587329	0.9393146000000001	0.9414224	0.6944864000000001	0.9570219999999999	0.9612209999999999	0.739282	0.9369335999999999	0.9376102	0.6944935999999999	0.957425	0.962045	0.750916	0.9319306	0.9327091999999999	0.6762176	0.9558200000000001	0.9603799999999999	0.716465
0.589	0.589433	0.5889840000000001	0.645	0.646546	0.632699	0.592	0.5909909999999999	0.5918770000000001	0.9393146000000001	0.9414224	0.6944864000000001	0.9570219999999999	0.9612209999999999	0.739282	0.9370950000000001	0.9377848	0.6953722	0.958232	0.962918	0.750916	0.9387894	0.9409234000000001	0.6955452	0.9558200000000001	0.9603799999999999	0.726884
0.589	0.589433	0.5889840000000001	0.645	0.646546	0.632699	0.596	0.594681	0.595767	0.9395158000000001	0.9407984	0.7036836	0.9540040000000001	0.9579479999999999	0.739282	0.9425020000000001	0.9452954	0.7027595999999999	0.957425	0.960716	0.750916	0.9394355999999999	0.9410745999999999	0.7020054	0.957627	0.9605600000000001	0.72948
0.589	0.589433	0.5889840000000001	0.645	0.646546	0.632699	0.596	0.594681	0.595767	0.9395158000000001	0.9407984	0.7036836	0.9540040000000001	0.9579479999999999	0.739282	0.9421388	0.9444193999999999	0.7050185999999999	0.957425	0.960716	0.750916	0.9381444	0.9384167999999999	0.7073396	0.957627	0.9605600000000001	0.7525270000000001
0.608333	0.609823	0.608161	0.645	0.646546	0.632699	0.605667	0.609647	0.604743	0.9394754000000001	0.9405658000000001	0.7048578000000001	0.9540040000000001	0.9579479999999999	0.739282	0.9409685999999999	0.9426396	0.7052428000000001	0.957425	0.960716	0.750916	0.9381444	0.9384167999999999	0.7073396	0.957627	0.9605600000000001	0.7525270000000001
0.608333	0.609823	0.608161	0.645	0.646546	0.632699	0.605667	0.609647	0.604743	0.9396370000000001	0.9404958000000001	0.7084338000000001	0.9562149999999999	0.958118	0.741538	0.9406861999999999	0.9420941999999999	0.7067904	0.9560129999999999	0.9587959999999999	0.750916	0.9361674000000001	0.935205	0.7092646	0.957627	0.9605600000000001	0.7525270000000001
0.608333	0.609823	0.608161	0.645	0.646546	0.632699	0.613667	0.6120220000000001	0.613228	0.9409281999999999	0.9423746	0.7087974	0.9562149999999999	0.958118	0.743356	0.9406861999999999	0.9420941999999999	0.7067904	0.9560129999999999	0.9587959999999999	0.750916	0.9352796	0.9338702	0.7092662	0.9531879999999999	0.955208	0.7525270000000001
0.623667	0.621487	0.622525	0.645	0.646546	0.632699	0.636	0.633945	0.63165	0.9409281999999999	0.9423746	0.7087974	0.9562149999999999	0.958118	0.743356	0.9393546	0.9397314	0.7108515999999999	0.9560129999999999	0.957989	0.750916	0.9353604	0.933926	0.7101118000000001	0.953592	0.955208	0.7525270000000001
0.623667	0.621487	0.622525	0.645	0.646546	0.632699	0.636	0.633945	0.63165	0.9409281999999999	0.9423746	0.7087974	0.9562149999999999	0.958118	0.743356	0.9393546	0.9397314	0.7108515999999999	0.9560129999999999	0.957989	0.750916	0.9353604	0.933926	0.7101118000000001	0.953592	0.955208	0.7525270000000001
0.623667	0.621487	0.622525	0.645	0.646546	0.632699	0.636	0.633945	0.63165	0.9393548	0.9398308000000001	0.7109438	0.9562149999999999	0.958118	0.743356	0.9393546	0.9397314	0.7108515999999999	0.9560129999999999	0.957989	0.750916	0.9353604	0.933926	0.7101118000000001	0.953592	0.955208	0.7525270000000001
%min	0.589	0.589433	0.5889840000000001	0.612	0.61046	0.611635	0.587333	0.587118	0.587329	0.9393146000000001	0.9398308000000001	0.6944864000000001	0.9540040000000001	0.9579479999999999	0.739282	0.9369335999999999	0.9376102	0.6944935999999999	0.9560129999999999	0.957989	0.750916	0.9319306	0.9327091999999999	0.6762176	0.9531879999999999	0.955208	0.716465
%mean	0.6052000000000001	0.6051662	0.6047993999999999	0.6416999999999999	0.6429373999999999	0.6305926	0.6104334	0.6100621999999999	0.6088404000000001	0.9398912600000001	0.9412457799999998	0.7046967599999999	0.9557131000000002	0.9586876	0.7411372000000002	0.9399074199999999	0.9411131999999999	0.7049022399999999	0.9567996999999998	0.9598669999999998	0.750916	0.9363972600000002	0.9362393999999998	0.70373136	0.9556112000000001	0.9583832000000001	0.7440517999999999
%median	0.608333	0.609823	0.608161	0.645	0.646546	0.632699	0.605667	0.609647	0.604743	0.9395158000000001	0.9411104	0.7066458000000001	0.9562149999999999	0.958118	0.74041	0.9400204	0.9409128	0.7060166000000001	0.9567189999999999	0.9597559999999999	0.750916	0.9357639	0.9345654999999999	0.7083021	0.9558200000000001	0.9603799999999999	0.7525270000000001
%max	0.623667	0.621487	0.622525	0.645	0.646546	0.632699	0.636	0.633945	0.63165	0.9409281999999999	0.9423746	0.7109438	0.9570219999999999	0.9612209999999999	0.743356	0.9425020000000001	0.9452954	0.7108515999999999	0.958232	0.962918	0.750916	0.9394355999999999	0.9410745999999999	0.7101118000000001	0.957627	0.9605600000000001	0.7525270000000001
